SupplierID,SKU
1,999-vyk-317
1,999-vyk-317
1,999-vyk-317
1,999-vyk-317
1,999-vyk-317
1,999-vyk-317
1,999-vyk-317
2,999-oad-768
2,999-oad-768
2,999-oad-768
2,999-oad-768
2,999-oad-768
2,999-oad-768
2,999-oad-768
2,999-oad-768
2,999-oad-768
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
3,165-rcy-650
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
4,999-eol-949
5,999-epd-782
5,999-epd-782
5,999-epd-782
5,999-epd-782
5,999-epd-782
5,999-epd-782
5,999-epd-782
5,999-epd-782
